CustomerID,Name,Region,JoinDate,LoyaltyPts,State
1185,Cameron Levine,east,2021-07-26,25,IA
1186,Timothy Williams,West,2021-09-28,14,KS
1187,Kayla Solomon,North,2022-06-10,17,IA
1188,Ashley Todd,North,2023-09-04,17,KS
1189,Jennifer Farrell,North,2022-11-18,16,IA
1190,Elizabeth Robinson,south-west,2023-12-27,7,KS
1191,Kyle Smith Jr.,South,2023-10-31,8,NE
1192,Gregory Medina,EAST,2020-06-06,9,MO
1193,Nancy King,South,2022-05-23,1,NE
1194,Casey Brown,Central,2024-02-09,0,NE
1195,Michael Lee,south-west,2023-08-22,3,MO
1196,Dr. Elizabeth Johnston DDS,North,2022-02-09,15,IA
1197,William Wilson,West,2023-04-04,0,KS
1198,Chris Allen,south-west,2022-10-11,25,NE
1199,James Cooley,West,2020-07-23,14,MO
1005,Jessica Mora,South,2021-08-05,17,NE
